iter	RMSE
0	0.295769088
1	0.288980453
2	0.2823883137
3	0.2761822914
4	0.2700780284
5	0.26420721
6	0.258519603
7	0.2530196088
8	0.2479257183
9	0.2427811526
10	0.2380002458
11	0.2333474912
12	0.2288560042
13	0.2244889142
14	0.2202543436
15	0.2162670513
16	0.2125152124
17	0.2088786671
18	0.2054409223
19	0.2020012791
