iter	Passed	Remaining
401	9387	13964
402	9395	13918
403	9413	13887
404	9458	13895
405	9474	13862
406	9485	13819
407	9495	13777
408	9536	13780
409	9547	13739
410	9564	13706
411	9642	13760
412	9652	13719
413	9658	13671
414	9661	13618
415	9667	13571
416	9678	13531
417	9681	13479
418	9684	13428
419	9687	13377
420	9689	13325
421	9691	13273
422	9694	13224
423	9702	13180
424	9705	13131
425	9708	13081
426	9710	13031
427	9713	12981
428	9715	12931
429	9718	12882
430	9721	12833
431	9723	12784
432	9728	12739
433	9734	12695
434	9738	12648
435	9741	12601
436	9743	12552
437	9745	12504
438	9749	12459
439	9754	12414
440	9775	12390
441	9779	12346
442	9782	12300
443	9797	12269
444	9802	12225
445	9806	12181
446	9809	12136
447	9811	12089
448	9814	12043
449	9816	11997
450	9820	11953
451	9827	11914
452	9834	11874
453	9842	11836
454	9847	11795
455	9850	11751
456	9855	11710
457	9861	11669
458	9865	11628
459	9870	11586
460	9922	11601
461	9937	11571
462	9944	11533
463	9980	11529
464	10000	11506
465	10006	11466
466	10013	11428
467	10019	11389
468	10024	11350
469	10075	11361
470	10090	11333
471	10097	11294
472	10101	11254
473	10106	11215
474	10111	11175
475	10120	11140
476	10128	11105
477	10166	11101
478	10184	11078
479	10189	11038
480	10193	10999
481	10202	10964
482	10210	10929
483	10264	10942
484	10287	10924
485	10310	10904
486	10333	10885
487	10400	10911
488	10411	10880
489	10418	10843
490	10424	10806
491	10428	10767
492	10545	10845
493	10582	10839
494	10587	10801
495	10593	10763
496	10601	10729
497	10606	10691
498	10610	10652
499	10617	10617
500	10623	10581
501	10665	10580
502	10671	10543
503	10675	10506
504	10679	10468
505	10686	10433
506	10690	10395
507	10699	10362
508	10723	10344
509	10731	10310
510	10735	10273
511	10741	10238
512	10750	10205
513	10763	10177
514	10796	10167
515	10806	10136
516	10810	10099
517	10815	10064
518	10820	10028
519	10823	9991
520	10827	9954
521	10836	9923
522	10850	9896
523	10858	9864
524	10863	9829
525	10868	9793
526	10877	9763
527	10882	9728
528	10886	9692
529	10897	9663
530	10904	9631
531	10920	9606
532	10931	9577
533	10936	9543
534	10940	9509
535	10944	9474
536	10949	9440
537	10952	9405
538	10956	9371
539	10961	9337
540	10981	9316
541	10993	9289
542	10998	9256
543	11004	9224
544	11011	9192
545	11016	9160
546	11053	9154
547	11067	9128
548	11075	9098
549	11081	9066
550	11089	9036
551	11093	9003
552	11105	8976
553	11145	8972
554	11159	8947
555	11169	8919
556	11175	8887
557	11184	8859
558	11191	8828
559	11219	8815
560	11260	8811
561	11273	8785
562	11279	8755
563	11284	8723
564	11290	8693
565	11300	8664
566	11311	8638
567	11333	8620
568	11339	8589
569	11345	8558
570	11350	8527
571	11354	8496
572	11358	8464
573	11363	8433
574	11371	8404
575	11429	8413
576	11457	8399
577	11502	8398
578	11536	8388
579	11591	8393
580	11627	8385
581	11676	8386
582	11722	8384
583	11806	8410
584	11815	8382
585	11819	8350
586	11825	8320
587	11830	8289
588	11835	8259
589	11866	8245
590	11886	8226
591	11891	8195
592	11895	8164
593	11900	8133
594	11903	8102
595	11907	8071
596	11913	8042
597	11963	8042
598	11968	8012
599	11972	7981
600	11976	7951
601	11980	7920
602	11985	7891
603	11990	7861
604	11995	7832
605	12021	7815
606	12032	7790
607	12036	7760
608	12051	7737
609	12056	7708
610	12060	7678
611	12066	7650
612	12071	7621
613	12098	7606
614	12145	7603
615	12177	7591
616	12182	7562
617	12185	7532
618	12187	7501
619	12190	7471
620	12193	7441
621	12196	7412
622	12200	7382
623	12207	7355
624	12217	7330
625	12219	7300
626	12223	7271
627	12237	7249
628	12247	7223
629	12251	7195
630	12255	7167
631	12261	7139
632	12271	7114
633	12276	7087
634	12285	7062
635	12361	7075
636	12366	7047
637	12371	7019
638	12375	6991
639	12380	6963
640	12385	6936
641	12394	6911
642	12420	6896
643	12449	6881
644	12452	6853
645	12458	6826
646	12475	6806
647	12480	6779
648	12482	6750
649	12486	6723
650	12497	6700
651	12507	6675
652	12520	6653
653	12530	6629
654	12539	6604
655	12543	6577
656	12548	6551
657	12561	6528
658	12565	6502
659	12570	6475
660	12590	6457
661	12602	6434
662	12606	6408
663	12610	6381
664	12617	6356
665	12632	6335
666	12635	6308
667	12639	6281
668	12644	6255
669	12649	6230
670	12657	6206
671	12660	6179
672	12663	6152
673	12667	6126
674	12669	6100
675	12674	6074
676	12685	6052
677	12690	6027
678	12697	6002
679	12701	5977
680	12728	5962
681	12730	5936
682	12745	5915
683	12752	5891
684	12758	5866
685	12763	5842
686	12772	5819
687	12779	5795
688	12794	5775
689	12844	5770
690	12848	5745
691	12852	5720
692	12857	5696
693	12861	5671
694	12869	5647
695	12896	5632
696	12916	5615
697	12920	5590
698	12924	5565
699	12928	5540
700	12942	5520
701	12945	5495
702	12947	5470
703	12952	5445
704	12954	5420
705	12960	5396
706	12969	5374
707	12972	5350
708	12975	5325
709	12979	5301
710	12983	5277
711	12987	5253
712	13003	5234
713	13006	5209
714	13010	5186
715	13015	5162
716	13018	5138
717	13029	5117
718	13033	5093
719	13036	5069
720	13039	5045
721	13041	5021
722	13043	4997
723	13047	4974
724	13057	4952
725	13066	4931
726	13070	4908
727	13072	4884
728	13076	4861
729	13081	4838
730	13093	4818
731	13095	4794
732	13099	4771
733	13102	4748
734	13107	4726
735	13113	4703
736	13121	4682
737	13125	4659
738	13130	4637
739	13135	4615
740	13138	4592
741	13145	4570
742	13163	4553
743	13168	4531
744	13183	4512
745	13194	4492
746	13203	4471
747	13208	4450
748	13213	4428
749	13218	4406
750	13223	4384
751	13231	4363
752	13270	4353
753	13302	4339
754	13308	4318
755	13313	4296
756	13319	4275
757	13324	4253
758	13347	4238
759	13367	4221
760	13372	4199
761	13377	4178
762	13381	4156
763	13386	4135
764	13391	4113
765	13397	4092
766	13405	4072
767	13433	4058
768	13441	4037
769	13450	4017
770	13453	3995
771	13457	3974
772	13459	3952
773	13466	3932
774	13475	3912
775	13483	3892
776	13486	3870
777	13490	3849
778	13498	3829
779	13507	3809
780	13512	3789
781	13515	3767
782	13518	3746
783	13521	3725
784	13530	3705
785	13537	3685
786	13542	3665
787	13545	3644
788	13548	3623
789	13551	3602
790	13564	3583
791	13571	3564
792	13573	3543
793	13580	3523
794	13591	3504
795	13615	3489
796	13640	3474
797	13645	3454
798	13648	3433
799	13654	3413
800	13669	3396
801	13675	3376
802	13680	3356
803	13685	3336
804	13690	3316
805	13697	3296
806	13746	3287
